trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3618,False,"{'a': 0.9, 'e': 0.02678776014210153}",30,16,29.1470476722709,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3619,False,"{'a': 0.9, 'e': 0.026760972381959427}",20,14,-1.84539232188984,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
3620,False,"{'a': 0.9, 'e': 0.02673421140957747}",30,12,33.35201782452925,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3621,False,"{'a': 0.9, 'e': 0.026707477198167892}",30,22,16.67516856202341,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3622,False,"{'a': 0.9, 'e': 0.026680769720969725}",20,11,15.038918565428817,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3623,False,"{'a': 0.9, 'e': 0.026654088951248753}",30,18,23.80147421815926,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3624,False,"{'a': 0.9, 'e': 0.026627434862297506}",20,6,18.816768094785953,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3625,False,"{'a': 0.9, 'e': 0.026600807427435206}",25,14,15.64558597789975,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3626,False,"{'a': 0.9, 'e': 0.026574206620007774}",20,9,24.151479051324802,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3627,False,"{'a': 0.9, 'e': 0.026547632413387763}",25,14,21.173027640860596,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3628,False,"{'a': 0.9, 'e': 0.026521084780974376}",20,12,19.00791653141742,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3629,False,"{'a': 0.9, 'e': 0.026494563696193404}",25,-3,57.243760124925785,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",0
3630,False,"{'a': 0.9, 'e': 0.026468069132497208}",20,6,29.43361132948634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
